"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 19 13:33:44 CST 2021","Fri Mar 19 13:33:44 CST 2021","259","test","test_api","","","","发送可交互式消息-type：userpicker",""
"passed","Fri Mar 19 13:33:31 CST 2021","Fri Mar 19 13:33:31 CST 2021","488","test","test_api","","","","发送消息",""
"passed","Fri Mar 19 13:33:44 CST 2021","Fri Mar 19 13:33:45 CST 2021","262","test","test_api","","","","发送可交互式消息-type：datapicker",""
"passed","Fri Mar 19 13:33:11 CST 2021","Fri Mar 19 13:33:12 CST 2021","787","test","test_api","","","","创建一个部门群",""
"failed","Fri Mar 19 13:33:47 CST 2021","Fri Mar 19 13:33:47 CST 2021","88","test","test_api","","","","将消息频道2与应用9的app结合",""
"failed","Fri Mar 19 13:32:45 CST 2021","Fri Mar 19 13:32:45 CST 2021","118","test","test_api","","","","删除成员 - 删除带头像的",""
"passed","Fri Mar 19 13:33:49 CST 2021","Fri Mar 19 13:33:49 CST 2021","267","test","test_api","","","","发送一条新建的频道消息（应用5）",""
"passed","Fri Mar 19 13:34:08 CST 2021","Fri Mar 19 13:34:08 CST 2021","166","test","test_api","","","","查询日程-查询单个",""
"passed","Fri Mar 19 13:33:14 CST 2021","Fri Mar 19 13:33:15 CST 2021","712","test","test_api","","","","创建公众号-部门有发布权限",""
"passed","Fri Mar 19 13:33:59 CST 2021","Fri Mar 19 13:33:59 CST 2021","422","test","test_api","","","","简单日程2 -仅参与人可见",""
"failed","Fri Mar 19 13:33:32 CST 2021","Fri Mar 19 13:33:32 CST 2021","118","test","test_api","","","","发送文件-pdf",""
"passed","Fri Mar 19 13:33:57 CST 2021","Fri Mar 19 13:33:58 CST 2021","508","test","test_api","","","","简单日程2",""
"passed","Fri Mar 19 13:32:52 CST 2021","Fri Mar 19 13:32:53 CST 2021","957","test","test_api","","","","创建群",""
"failed","Fri Mar 19 13:33:48 CST 2021","Fri Mar 19 13:33:48 CST 2021","81","test","test_api","","","","删除频道1",""
"passed","Fri Mar 19 13:33:24 CST 2021","Fri Mar 19 13:33:24 CST 2021","114","test","test_api","","","","pwd配置",""
"broken","Fri Mar 19 13:33:46 CST 2021","Fri Mar 19 13:33:46 CST 2021","280","test","test_api","","","","发送可交互式消息-type：avatartype  多文字布局抬头",""
"passed","Fri Mar 19 13:32:54 CST 2021","Fri Mar 19 13:32:54 CST 2021","487","test","test_api","","","","添加群成员",""
"passed","Fri Mar 19 13:32:45 CST 2021","Fri Mar 19 13:32:46 CST 2021","771","test","test_api","","","","批量创建成员",""
"broken","Fri Mar 19 13:32:41 CST 2021","Fri Mar 19 13:32:41 CST 2021","1","test","test_api","","","","上传媒体文件-word",""
"passed","Fri Mar 19 13:33:37 CST 2021","Fri Mar 19 13:33:38 CST 2021","870","test","test_api","","","","创建部门可交互式部门2-成员1",""
"passed","Fri Mar 19 13:33:25 CST 2021","Fri Mar 19 13:33:25 CST 2021","110","test","test_api","","","","pwd配置",""
"passed","Fri Mar 19 13:32:46 CST 2021","Fri Mar 19 13:32:47 CST 2021","428","test","test_api","","","","获取成员详情 - 批量创建后",""
"passed","Fri Mar 19 13:33:38 CST 2021","Fri Mar 19 13:33:39 CST 2021","762","test","test_api","","","","创建部门可交互式部门2-成员2",""
"passed","Fri Mar 19 13:32:58 CST 2021","Fri Mar 19 13:32:58 CST 2021","409","test","test_api","","","","获取群列表",""
"failed","Fri Mar 19 13:33:01 CST 2021","Fri Mar 19 13:33:01 CST 2021","91","test","test_api","","","","删除成员-删除群主",""
"broken","Fri Mar 19 13:34:16 CST 2021","Fri Mar 19 13:34:17 CST 2021","180","test","test_api","","","","应用6退出统一代办",""
